lambda,strategy,error,pnl,cost
0.0005,bellman_dp_costs_adaptive,-1.0946282033393686,-1.0946282033393686,0.07314299622632414
0.0005,bellman_dp_costs_adaptive,-2.7162340590022467,-2.7162340590022467,0.0998689684252772
0.0005,bellman_dp_costs_adaptive,-6.513737090295887,-6.513737090295887,0.08575470513306614
0.0005,bellman_dp_costs_adaptive,-5.5477328757000635,-5.5477328757000635,0.11697263382929288
0.0005,bellman_dp_costs_adaptive,4.900545271981219,4.900545271981219,0.06079262503199595
0.0005,bellman_dp_costs_adaptive,4.44426979176234,4.44426979176234,0.060599880964105894
0.0005,bellman_dp_costs_adaptive,-0.5557062769154726,-0.5557062769154726,0.06411540918434189
0.0005,bellman_dp_costs_adaptive,4.412657711789478,4.412657711789478,0.07433461555787657
0.0005,bellman_dp_costs_adaptive,-1.4231122999088228,-1.4231122999088228,0.06441557835634822
0.0005,bellman_dp_costs_adaptive,0.39164484723161763,0.39164484723161763,0.04110673101420599
0.0005,bellman_dp_costs_adaptive,-5.426131666689329,-5.426131666689329,0.12253023073743846
0.0005,bellman_dp_costs_adaptive,-2.067910794658758,-2.067910794658758,0.09101013793634176
0.0005,bellman_dp_costs_adaptive,3.789816910713995,3.789816910713995,0.07657085383132675
0.0005,bellman_dp_costs_adaptive,2.7372074703708478,2.7372074703708478,0.045497130722254656
0.0005,bellman_dp_costs_adaptive,4.436358619444789,4.436358619444789,0.05547578219837488
0.0005,bellman_dp_costs_adaptive,1.8169734752633104,1.8169734752633104,0.08427738834989146
0.0005,bellman_dp_costs_adaptive,-0.17159321241025793,-0.17159321241025793,0.060766999408081314
0.0005,bellman_dp_costs_adaptive,-1.5404892888233395,-1.5404892888233395,0.05526082927921974
0.0005,bellman_dp_costs_adaptive,1.424332937917896,1.424332937917896,0.0837976634558711
0.0005,bellman_dp_costs_adaptive,-9.23506645145801,-9.23506645145801,0.0947521218064378
0.0005,bellman_dp_costs_adaptive,5.085762714321376,5.085762714321376,0.07068083294848215
0.0005,bellman_dp_costs_adaptive,1.6676491407686598,1.6676491407686598,0.11485842458853587
0.0005,bellman_dp_costs_adaptive,6.7925515231991795,6.7925515231991795,0.06959530578248684
0.0005,bellman_dp_costs_adaptive,-2.976839173416593,-2.976839173416593,0.05063021887030171
0.0005,bellman_dp_costs_adaptive,1.2933832273226074,1.2933832273226074,0.08852505124361915
0.0005,bellman_dp_costs_adaptive,-0.9888861685015087,-0.9888861685015087,0.06381576437229781
0.0005,bellman_dp_costs_adaptive,-0.15135311033525412,-0.15135311033525412,0.05010690778686275
0.0005,bellman_dp_costs_adaptive,-2.696927844126165,-2.696927844126165,0.0923759317137548
0.0005,bellman_dp_costs_adaptive,4.746868063070899,4.746868063070899,0.10821929595462457
0.0005,bellman_dp_costs_adaptive,-2.12958417434551,-2.12958417434551,0.10768885532283867
0.0005,bellman_dp_costs_adaptive,1.4998625669416157,1.4998625669416157,0.08406185883759838
0.0005,bellman_dp_costs_adaptive,2.247180559480981,2.247180559480981,0.05468136790690786
0.0005,bellman_dp_costs_adaptive,1.7728296300423168,1.7728296300423168,0.08827214249004511
0.0005,bellman_dp_costs_adaptive,-1.2336310471227847,-1.2336310471227847,0.06432647612276597
0.0005,bellman_dp_costs_adaptive,5.16133946694714,5.16133946694714,0.06121288827477022
0.0005,bellman_dp_costs_adaptive,-7.231493397075969,-7.231493397075969,0.0856350224095341
0.0005,bellman_dp_costs_adaptive,1.669186006301075,1.669186006301075,0.07470631010622153
0.0005,bellman_dp_costs_adaptive,-4.3866259686377305,-4.3866259686377305,0.12197882711849928
0.0005,bellman_dp_costs_adaptive,2.25842640663366,2.25842640663366,0.0842498219166333
0.0005,bellman_dp_costs_adaptive,2.7964833069371764,2.7964833069371764,0.10352119872601326
0.0005,bellman_dp_costs_adaptive,5.134251222347082,5.134251222347082,0.08270648226506408
0.0005,bellman_dp_costs_adaptive,-0.5460521322535783,-0.5460521322535783,0.05077779057243305
0.0005,bellman_dp_costs_adaptive,-5.868928718813104,-5.868928718813104,0.13143468255439308
0.0005,bellman_dp_costs_adaptive,5.590297689961621,5.590297689961621,0.09361582279129213
0.0005,bellman_dp_costs_adaptive,-6.162882566094197,-6.162882566094197,0.056189149909692135
0.0005,bellman_dp_costs_adaptive,-1.4266422204490619,-1.4266422204490619,0.05540793796075036
0.0005,bellman_dp_costs_adaptive,2.4282269182146194,2.4282269182146194,0.06813504945240907
0.0005,bellman_dp_costs_adaptive,-0.019460698330284742,-0.019460698330284742,0.07056315091612983
0.0005,bellman_dp_costs_adaptive,2.6272793089869566,2.6272793089869566,0.08427901893483497
0.0005,bellman_dp_costs_adaptive,-4.433667333967634,-4.433667333967634,0.07029187333424185
0.0005,bellman_dp_costs_adaptive,3.0855081142780705,3.0855081142780705,0.041091182566860646
0.0005,bellman_dp_costs_adaptive,-5.209995052606358,-5.209995052606358,0.10821962273867441
0.0005,bellman_dp_costs_adaptive,3.421361656350296,3.421361656350296,0.04568149826319848
0.0005,bellman_dp_costs_adaptive,-1.2919073495212245,-1.2919073495212245,0.054428797208916184
0.0005,bellman_dp_costs_adaptive,-3.357036821816891,-3.357036821816891,0.10086664596589909
0.0005,bellman_dp_costs_adaptive,-0.755670001839805,-0.755670001839805,0.07524997484327696
0.0005,bellman_dp_costs_adaptive,0.7851187794638363,0.7851187794638363,0.13685774622963764
0.0005,bellman_dp_costs_adaptive,-0.505309322447367,-0.505309322447367,0.07819114305212248
0.0005,bellman_dp_costs_adaptive,-2.711269275990446,-2.711269275990446,0.07036951391754633
0.0005,bellman_dp_costs_adaptive,-5.73271304856236,-5.73271304856236,0.06940549120034484
0.0005,bellman_dp_costs_adaptive,-5.887196515576036,-5.887196515576036,0.11600862451300661
0.0005,bellman_dp_costs_adaptive,-2.724804096654921,-2.724804096654921,0.08999755271102365
0.0005,bellman_dp_costs_adaptive,1.6761680376734223,1.6761680376734223,0.0999061792065068
0.0005,bellman_dp_costs_adaptive,-1.0956714945338462,-1.0956714945338462,0.06843679227061902
0.0005,bellman_dp_costs_adaptive,2.2857721577245798,2.2857721577245798,0.045341443760638464
0.0005,bellman_dp_costs_adaptive,2.4159967351238123,2.4159967351238123,0.09357566383260896
0.0005,bellman_dp_costs_adaptive,-0.6726126462464492,-0.6726126462464492,0.07084841891240992
0.0005,bellman_dp_costs_adaptive,-0.8678605086352214,-0.8678605086352214,0.08575225813095523
0.0005,bellman_dp_costs_adaptive,4.392955061212418,4.392955061212418,0.10944383582459423
0.0005,bellman_dp_costs_adaptive,0.26931356967702413,0.26931356967702413,0.11877251926280993
0.0005,bellman_dp_costs_adaptive,-0.320095749985172,-0.320095749985172,0.09283598897007685
0.0005,bellman_dp_costs_adaptive,5.297134517331095,5.297134517331095,0.06929544292487523
0.0005,bellman_dp_costs_adaptive,-2.672577893638291,-2.672577893638291,0.14851475049514057
0.0005,bellman_dp_costs_adaptive,-4.275965863840668,-4.275965863840668,0.1127045201469435
0.0005,bellman_dp_costs_adaptive,4.236683576820312,4.236683576820312,0.05881217269622714
0.0005,bellman_dp_costs_adaptive,0.1309895268864416,0.1309895268864416,0.06558157265003232
0.0005,bellman_dp_costs_adaptive,-1.3696016789098024,-1.3696016789098024,0.0504470566572749
0.0005,bellman_dp_costs_adaptive,3.983400073377954,3.983400073377954,0.06584167422424575
0.0005,bellman_dp_costs_adaptive,-6.817803892376006,-6.817803892376006,0.0569089374727553
0.0005,bellman_dp_costs_adaptive,-1.810952855969962,-1.810952855969962,0.17151728248589548
0.0005,bellman_dp_costs_adaptive,1.6812804106288297,1.6812804106288297,0.08434939158319843
0.0005,bellman_dp_costs_adaptive,-6.097778321562487,-6.097778321562487,0.11044748966176458
0.0005,bellman_dp_costs_adaptive,-0.20828730645935423,-0.20828730645935423,0.0650175695252983
0.0005,bellman_dp_costs_adaptive,-2.5177164454067036,-2.5177164454067036,0.05021194285124865
0.0005,bellman_dp_costs_adaptive,-0.2573463397028126,-0.2573463397028126,0.05537873725461871
0.0005,bellman_dp_costs_adaptive,-0.9142726034930133,-0.9142726034930133,0.10423021530360047
0.0005,bellman_dp_costs_adaptive,0.9638545085861665,0.9638545085861665,0.04103333528130804
0.0005,bellman_dp_costs_adaptive,-5.344345437905986,-5.344345437905986,0.13350838972082033
0.0005,bellman_dp_costs_adaptive,-2.328539313213497,-2.328539313213497,0.04628525047441096
0.0005,bellman_dp_costs_adaptive,1.9815928879764613,1.9815928879764613,0.070178522399469
0.0005,bellman_dp_costs_adaptive,-6.62367177414122,-6.62367177414122,0.08886918187315776
0.0005,bellman_dp_costs_adaptive,1.5642115823662905,1.5642115823662905,0.08530838264538067
0.0005,bellman_dp_costs_adaptive,2.489271557247335,2.489271557247335,0.04560306640911652
0.0005,bellman_dp_costs_adaptive,-6.684676054099469,-6.684676054099469,0.10498225915888579
0.0005,bellman_dp_costs_adaptive,0.9463400979581991,0.9463400979581991,0.09467000977235326
0.0005,bellman_dp_costs_adaptive,-0.3552638759895359,-0.3552638759895359,0.05351979050600032
0.0005,bellman_dp_costs_adaptive,-1.487557791072149,-1.487557791072149,0.0745442028556134
0.0005,bellman_dp_costs_adaptive,-1.0713213925459684,-1.0713213925459684,0.07408852023188435
0.0005,bellman_dp_costs_adaptive,-0.44778920732236926,-0.44778920732236926,0.10681795172225306
0.0005,bellman_dp_costs_adaptive,-2.032041225074721,-2.032041225074721,0.09080003910359251
0.0005,bellman_dp_costs_adaptive,-0.7440268561847176,-0.7440268561847176,0.06425399718996173
0.0005,bellman_dp_costs_adaptive,0.6322558507847233,0.6322558507847233,0.07231222256040151
0.0005,bellman_dp_costs_adaptive,2.5140777810252857,2.5140777810252857,0.11108707131248523
0.0005,bellman_dp_costs_adaptive,1.8565755451875106,1.8565755451875106,0.08625549548969927
0.0005,bellman_dp_costs_adaptive,-6.200549982007178,-6.200549982007178,0.07502254960415888
0.0005,bellman_dp_costs_adaptive,0.8198648617238717,0.8198648617238717,0.08875793219757672
0.0005,bellman_dp_costs_adaptive,-1.0559038964073988,-1.0559038964073988,0.05548355924074949
0.0005,bellman_dp_costs_adaptive,-1.0891912097346363,-1.0891912097346363,0.13118109549557863
0.0005,bellman_dp_costs_adaptive,-6.184771823641952,-6.184771823641952,0.13179444088787512
0.0005,bellman_dp_costs_adaptive,-3.425892115081183,-3.425892115081183,0.06922791343615246
0.0005,bellman_dp_costs_adaptive,-4.522772599607393,-4.522772599607393,0.0508539026938885
0.0005,bellman_dp_costs_adaptive,-0.8466973271719951,-0.8466973271719951,0.04560077639231774
0.0005,bellman_dp_costs_adaptive,0.9490819452427104,0.9490819452427104,0.06388279885893275
0.0005,bellman_dp_costs_adaptive,-8.328283797010144,-8.328283797010144,0.06777444381674577
0.0005,bellman_dp_costs_adaptive,-2.5977223354969965,-2.5977223354969965,0.11766703655023034
0.0005,bellman_dp_costs_adaptive,-3.2895884767039263,-3.2895884767039263,0.14043570132083882
0.0005,bellman_dp_costs_adaptive,3.24087714139241,3.24087714139241,0.06572425162242232
0.0005,bellman_dp_costs_adaptive,1.5866259972356147,1.5866259972356147,0.06541277723929281
0.0005,bellman_dp_costs_adaptive,-1.4123802968909729,-1.4123802968909729,0.07552507148116439
0.0005,bellman_dp_costs_adaptive,0.6529687340031956,0.6529687340031956,0.06419674458531648
0.0005,bellman_dp_costs_adaptive,2.777991054999859,2.777991054999859,0.05932811331677511
0.0005,bellman_dp_costs_adaptive,-1.6686202971882942,-1.6686202971882942,0.07843744608126625
0.0005,bellman_dp_costs_adaptive,-4.891319161117771,-4.891319161117771,0.07402129855332726
0.0005,bellman_dp_costs_adaptive,0.8267005364047577,0.8267005364047577,0.07038346206963611
0.0005,bellman_dp_costs_adaptive,-0.6922346221102549,-0.6922346221102549,0.05530223331631466
0.0005,bellman_dp_costs_adaptive,6.137970007178005,6.137970007178005,0.07433733653790425
0.0005,bellman_dp_costs_adaptive,-2.829026197650208,-2.829026197650208,0.050756902395694914
0.0005,bellman_dp_costs_adaptive,3.065393503919424,3.065393503919424,0.13172167556327335
0.0005,bellman_dp_costs_adaptive,4.8476740850688085,4.8476740850688085,0.07369668484857694
0.0005,bellman_dp_costs_adaptive,-5.22466707507958,-5.22466707507958,0.1657240929463473
0.0005,bellman_dp_costs_adaptive,4.906776798729297,4.906776798729297,0.09847310968527595
0.0005,bellman_dp_costs_adaptive,3.2750920808679,3.2750920808679,0.06912319304766631
0.0005,bellman_dp_costs_adaptive,-1.9801701863567978,-1.9801701863567978,0.05512120905197847
0.0005,bellman_dp_costs_adaptive,-2.605935055492907,-2.605935055492907,0.04606796778822574
0.0005,bellman_dp_costs_adaptive,5.113943363469602,5.113943363469602,0.08947708642209448
0.0005,bellman_dp_costs_adaptive,1.7707870981827512,1.7707870981827512,0.14851749345143925
0.0005,bellman_dp_costs_adaptive,1.1165189958029273,1.1165189958029273,0.1253317994391949
0.0005,bellman_dp_costs_adaptive,-0.5401380234311404,-0.5401380234311404,0.06447838323387094
0.0005,bellman_dp_costs_adaptive,0.9937033020232349,0.9937033020232349,0.07958094718508638
0.0005,bellman_dp_costs_adaptive,0.32907584930775613,0.32907584930775613,0.06351565888093404
0.0005,bellman_dp_costs_adaptive,2.3009426163043045,2.3009426163043045,0.0500776598762609
0.0005,bellman_dp_costs_adaptive,-3.243529773230577,-3.243529773230577,0.1062797791417737
0.0005,bellman_dp_costs_adaptive,-6.738715734131105,-6.738715734131105,0.10592774782689912
0.0005,bellman_dp_costs_adaptive,5.085189191493514,5.085189191493514,0.1143548488862321
0.0005,bellman_dp_costs_adaptive,-1.5772584244285799,-1.5772584244285799,0.05523072212609692
